Sum of __index_level_0__,Sum of avg_temp_c,Sum of avg_sea_level_pres_hpa,Sum of avg_wind_dir_deg,Sum of avg_wind_speed_kmh,city,competition,country,city_name,Sum of Draw,Sum of max_temp_c,Sum of Loose,Sum of min_temp_c,neutral,Opponent,Sum of peak_wind_gust_kmh,Sum of Point,Sum of precipitation_mm,Result,season,Snow,Sum of snow_depth_mm,stadium,station_id,Sum of TA,Sum of TF,Team,Sum of sunshine_total_min,Sum of TotalTri,TrancheTemp,TranchWind,Sum of Win,world_cup
55121,7.6,1001.4,234,34.1,Dublin,2018 Six Nations Championship,Ireland,Dublin,0,10.9,1,0.3,False,Ireland,,0,1,L,Winter,false,,Aviva Stadium,03969,56,19,Italy,,75,0-20,30-60,0,False
55135,2,1020.9,137,21.2,Dublin,2018 Six Nations Championship,Ireland,Dublin,0,5.4,1,1.7,False,Ireland,,0,0,L,Winter,false,,Aviva Stadium,03969,37,27,Wales,,64,0-20,moins de 30,0,False
55149,7.6,987.4,131,21.2,Dublin,2018 Six Nations Championship,Ireland,Dublin,0,13.4,0,1,False,Ireland,,3,0.1,W,Spring,false,,Aviva Stadium,03969,28,8,Scotland,,36,0-20,moins de 30,1,False
55121,7.6,1001.4,234,34.1,Dublin,2018 Six Nations Championship,Ireland,Dublin,0,10.9,0,0.3,False,Italy,,3,1,W,Winter,false,,Aviva Stadium,03969,19,56,Ireland,,75,0-20,30-60,1,False
55149,7.6,987.4,131,21.2,Dublin,2018 Six Nations Championship,Ireland,Dublin,0,13.4,1,1,False,Scotland,,0,0.1,L,Spring,false,,Aviva Stadium,03969,8,28,Ireland,,36,0-20,moins de 30,0,False
55135,2,1020.9,137,21.2,Dublin,2018 Six Nations Championship,Ireland,Dublin,0,5.4,0,1.7,False,Wales,,3,0,W,Winter,false,,Aviva Stadium,03969,27,37,Ireland,,64,0-20,moins de 30,1,False
55695,12.5,1026.7,303,15,Dublin,2019 Rugby World Cup warm-up tests,Ireland,Dublin,0,18.7,1,10.2,False,Ireland,33.3,0,0,L,Autumn,false,,Aviva Stadium,03969,19,10,Wales,,29,0-20,moins de 30,0,False
55667,16.6,992.9,235,20.6,Dublin,2019 Rugby World Cup warm-up tests,Ireland,Dublin,0,20.2,1,16.8,False,Ireland,46.3,0,10.2,L,Summer,false,,Aviva Stadium,03969,29,10,Italy,,39,0-20,moins de 30,0,False
55667,16.6,992.9,235,20.6,Dublin,2019 Rugby World Cup warm-up tests,Ireland,Dublin,0,20.2,0,16.8,False,Italy,46.3,3,10.2,W,Summer,false,,Aviva Stadium,03969,10,29,Ireland,,39,0-20,moins de 30,1,False
55695,12.5,1026.7,303,15,Dublin,2019 Rugby World Cup warm-up tests,Ireland,Dublin,0,18.7,0,10.2,False,Wales,33.3,3,0,W,Autumn,false,,Aviva Stadium,03969,10,19,Ireland,,29,0-20,moins de 30,1,False
55478,0.4,1013.8,278,17,Dublin,2019 Six Nations Championship,Ireland,Dublin,0,5.4,1,-2.4,False,England,35.2,0,0,L,Winter,false,,Aviva Stadium,03969,32,20,Ireland,,52,0-20,moins de 30,0,False
55514,3.4,1009.4,252,25.2,Dublin,2019 Six Nations Championship,Ireland,Dublin,0,7.9,0,2.7,False,France,83,3,1.5,W,Spring,false,,Aviva Stadium,03969,14,26,Ireland,,40,0-20,moins de 30,1,False
55514,3.4,1009.4,252,25.2,Dublin,2019 Six Nations Championship,Ireland,Dublin,0,7.9,1,2.7,False,Ireland,83,0,1.5,L,Spring,false,,Aviva Stadium,03969,26,14,France,,40,0-20,moins de 30,0,False
55478,0.4,1013.8,278,17,Dublin,2019 Six Nations Championship,Ireland,Dublin,0,5.4,0,-2.4,False,Ireland,35.2,3,0,W,Winter,false,,Aviva Stadium,03969,20,32,England,,52,0-20,moins de 30,1,False
56108,10.1,990.6,200,20.7,Dublin,2020 Six Nations Championship,Ireland,Dublin,0,11.8,1,7.5,False,Ireland,68,0,0,L,Autumn,false,,Aviva Stadium,03969,50,17,Italy,,67,0-20,moins de 30,0,False
55842,7.9,998.8,242,24.5,Dublin,2020 Six Nations Championship,Ireland,Dublin,0,10.9,1,7.5,False,Ireland,68.5,0,2.7,L,Winter,false,,Aviva Stadium,03969,19,12,Scotland,,31,0-20,moins de 30,0,False
55849,7.1,1001.2,210,31.7,Dublin,2020 Six Nations Championship,Ireland,Dublin,0,11.8,1,4.1,False,Ireland,83,0,33.1,L,Winter,false,,Aviva Stadium,03969,24,14,Wales,,38,0-20,30-60,0,False
